id,name,type,year,component,variable,value
310M200US10180,"Abilene, TX Metro Area",msa,2012,Goods,index,97
310M200US10180,"Abilene, TX Metro Area",msa,2012,Goods,rank,290
310M200US10180,"Abilene, TX Metro Area",msa,2012,Goods,total_ranks,381
310M200US49700,"Yuba City, CA Metro Area",msa,2009,Other,index,99.3
310M200US49700,"Yuba City, CA Metro Area",msa,2009,Other,rank,77
310M200US49700,"Yuba City, CA Metro Area",msa,2009,Other,total_ranks,381
310M200US29940,"Lawrence, KS Metro Area",msa,2012,Other,index,94.7
310M200US29940,"Lawrence, KS Metro Area",msa,2012,Other,rank,147
310M200US29940,"Lawrence, KS Metro Area",msa,2012,Other,total_ranks,381
310M200US24860,"Greenville-Anderson-Mauldin, SC Metro Area",msa,2012,Goods,index,97.3
310M200US24860,"Greenville-Anderson-Mauldin, SC Metro Area",msa,2012,Goods,rank,261
310M200US24860,"Greenville-Anderson-Mauldin, SC Metro Area",msa,2012,Goods,total_ranks,381
310M200US41620,"Salt Lake City, UT Metro Area",msa,2009,All,index,99.4
310M200US41620,"Salt Lake City, UT Metro Area",msa,2009,All,rank,73
310M200US41620,"Salt Lake City, UT Metro Area",msa,2009,All,total_ranks,381
310M200US24660,"Greensboro-High Point, NC Metro Area",msa,2012,Other,index,94.2
310M200US24660,"Greensboro-High Point, NC Metro Area",msa,2012,Other,rank,257
310M200US24660,"Greensboro-High Point, NC Metro Area",msa,2012,Other,total_ranks,381
310M200US28140,"Kansas City, MO-KS Metro Area",msa,2009,Other,index,91
310M200US28140,"Kansas City, MO-KS Metro Area",msa,2009,Other,rank,335
310M200US28140,"Kansas City, MO-KS Metro Area",msa,2009,Other,total_ranks,381
310M200US40660,"Rome, GA Metro Area",msa,2009,Rents,index,63.8
310M200US40660,"Rome, GA Metro Area",msa,2009,Rents,rank,342
310M200US40660,"Rome, GA Metro Area",msa,2009,Rents,total_ranks,381
310M200US31420,"Macon, GA Metro Area",msa,2012,Other,index,94.1
310M200US31420,"Macon, GA Metro Area",msa,2012,Other,rank,298
310M200US31420,"Macon, GA Metro Area",msa,2012,Other,total_ranks,381
310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",msa,2012,All,index,95.7
