"Open","High","Low","Close","Volume"
853.49,853.83,850.64,852.31,3384403
855.3,855.5,850.51,853.42,1842296
854.33,854.45,847.11,852.97,2562176
853.55,853.75,847.55,852.53,2130586
851.77,855.69,851.71,854.59,1909672
857,857.35,851.72,852.46,2436434
851,856.4,850.31,853,2048187
848,853.07,846.79,850.5,2288317
845.48,848.46,843.75,846.02,2247554
845.23,848.49,841.12,846.61,2610370
847.2,851.98,846.27,849.88,1951575
853.08,854.82,847.28,848.91,2132098
853.05,854.83,849.01,853.08,2760083
851.45,854.09,842.05,845.04,2793709
842.38,852.5,839.67,848.64,2713627
844.69,845.81,837.75,845.24,3687963
857.57,860.86,848,852.19,3461984
856.95,858.43,852.18,855.61,2616971
848.84,857.98,847.25,856.44,3507742
842,847.27,840.73,845.07,3112275
841.84,845,839.38,844.14,2714667
834,842.81,832.82,842.7,2968853
837,838.31,831.45,836.39,2792442
831.62,843,828.55,836.53,4172618
823.82,828,822.85,827.46,2429609
821.6,825,819.71,821.36,2484948
812.69,821.48,812.5,819.71,2857985
809.31,816.16,807.5,812.5,3466091
809.8,810.72,803,807.64,3897301
806.72,818.3,804,810.2,10868773
836.59,842.49,828.26,839.95,7350492
829.21,833.78,824.94,832.35,3850181
823.75,826.99,819.56,823.48,3137196
833,833.5,816.38,830.38,3747336
839,839.7,829.44,835.77,2998700
835.53,843.84,833,839.15,3586323
825.79,837.42,825.29,836.52,4023078
822,823.99,814.5,822.44,2971740
806.8,818.5,805.08,817.88,2797474
815.28,816.02,806.26,808.33,3376196
810,813.51,807.32,809.04,2540784
809.5,811.73,804.27,807.48,2354201
815.7,816,803.44,809.72,3670529
814.32,821.65,811.4,817.14,3791945
800.31,814.13,799.5,813.64,4873922
793.66,799.5,789.51,799.02,2992791
796.6,798,789.54,795.9,2558369
798,801.77,791.77,796.92,3446109
782.36,799.44,778.48,795.99,5986234
761.55,782.4,760.26,780.45,5830068
758.39,759.68,754.2,757.18,2510526
757.92,758.76,747.7,753.67,3521066
766.47,767.4,748.28,749.87,4139449
772.4,773.4,760.85,765.15,3158299
776.25,780,770.5,772.13,3301025
763.4,774.65,761.2,771.4,2638725
764.55,766.5,757.99,760.59,1981616
768.12,771.21,763.02,766.34,2543551
770,771.22,765.7,770.6,2044629
768.65,774.39,767.71,771.22,2703629
758.89,770.5,756.16,766,3113240
765,765.13,754,757.77,4848219
766.28,769.1,760.31,761,3801927
778.25,780.86,762.81,768.82,5454836
764.96,782.46,762,774.34,5285288
766.4,766.89,757.2,760.12,2963945
770,770.25,765.34,768.66,2470923
771.87,773.79,765.19,767.33,3189608
764.55,770.42,755.82,770.42,3684906
763.99,768.24,757.25,764.72,3794746
745,761.49,742,759.36,4314723
743.4,748.49,736.7,740.34,3561307
752.41,753.37,738.03,743.65,4665993
762,768.09,750.25,750.57,4625946
768,769.89,761.32,762.52,3272344
776.99,777,764.24,766.77,4438828
786.5,786.75,777.9,780.37,1837068
781.73,781.75,773.12,780.12,3540263
788.17,792.4,781,785.33,5311320
766,780.35,765.11,780,4614574
761,767.74,757.64,760.16,4373408
749.32,757.5,748,756.4,3651345
739.88,749.87,735.61,746.49,3648791
730,746.78,725.99,743.24,6755785
745.51,746,710.1,719.07,7321344
735.73,743.26,728.9,739.01,6622784
778.81,778.83,717.7,742.38,12746994
764,777.5,760.09,771.88,8562892
784.97,791.74,779.1,787.75,3412629
771.64,787.73,770.94,784.93,5984354
762.79,766,753.23,755.05,5122103
765.05,777,764,767.03,3872496
783.93,784.75,763.55,765.56,5026504
799,800.84,776.71,785.41,5305428
781.03,793.7,780.11,789.82,5413326
782,789.49,774.61,776.32,10841073
831.24,831.72,815.43,818.36,7406385
832.76,833.44,820,822.59,3998102
839.3,843.09,833.22,835.18,3248358
824.95,838.3,822.21,838.09,4060899
809.36,819.42,809,818.99,2793015
813.99,815.71,803.1,810.32,3151954
820.4,820.67,815.17,817.69,2090706
822.11,823.26,815.02,817.65,2512504
821.5,822,811.68,812.95,3361492
835.08,835.74,822.96,822.96,2999814
829,831.8,821.21,829.28,3091387
834,837.67,830.1,834.09,2380416
841.02,841.29,828.35,831,3588180
843.25,845.2,840.27,841.71,1827143
845.79,845.95,837.45,839.43,2426228
843.7,847.21,840.6,841.66,2684013
838,845.67,836.12,844.36,3469055
840.91,842.36,830.26,834.03,2950314
836,839.86,831.25,836.74,2769448
832.61,839.95,832.4,837.31,4430566
828.26,837.5,824.63,829.05,4922248
818,830.14,817.03,828.72,4422078
801.85,816.64,801.11,816.11,3819600
801.8,805.93,797.14,799.16,2651397
803.13,807.75,802.12,805.75,2353511
794.27,805.89,794.27,804.7,4078910
783.25,790.69,779.01,789.74,2718644
776,781.37,776,780.22,1937164
779.97,781.94,771,775.1,2297221
773.28,780.46,771.66,778.52,5499182
762,770.87,757.58,769.69,3043534
762.2,767.5,758.85,761.09,2531822
768.77,769.89,759.05,761.01,3117224
757.35,772.66,756,771.49,3124704
779.36,781,760.11,760.14,4257344
783.89,786.5,781.44,784.06,2030511
789.53,790.79,784.33,784.48,2424622
774.04,789.48,770.22,788.87,3719788
774.11,776,771.7,772.44,2157422
770.9,772.04,766.75,770.62,1792271
766.6,769.64,764,769.16,1633789
771.05,771.84,765.56,767.58,1709158
768.72,774.98,768.6,771.29,2198560
760.05,770,759.8,769,2776830
756,760.56,754.74,759.22,1622992
763,763.41,755.36,757.25,1744107
763.31,764.7,761,762.45,1524131
757.5,759.85,752.1,759.48,1679251
761.9,762.49,756.89,757.31,2343237
764,765.17,760.6,764.46,1458834
764.41,765.22,759.2,764.63,1891116
768.62,768.73,763.82,764.04,1604561
771.9,772.04,767.71,768.49,2118521
768.46,773.15,768.42,772.56,1563318
769.94,773.75,769.12,771.24,2019740
769.8,772.1,766.19,768.56,1604280
767.39,772.6,766.9,768.31,1876091
766.81,767,761.02,766.56,1986272
764.81,768.47,763.09,765.98,2704391
753.7,765,750.35,760.77,3178208
757.06,758.89,752.25,754.64,3581525
763.81,765.01,757.02,760.58,3603280
759.87,770.5,757.06,767.74,3578205
765,766,755,758.81,6777050
745.98,753.36,739.7,752.61,7617580
737.97,740.94,733.86,736.67,2913134
742.71,743.13,732.75,735.59,2529692
746.55,748.5,735.35,739.61,2679290
747.79,751.28,743.53,744.86,2277711
747.5,749.36,742.79,744.43,2317072
744,746.25,740.7,745.72,2214023
732.5,743.33,732.31,739.95,2216820
735.49,741.6,728.72,736.07,2954914
746.55,746.55,734.05,735.44,3121385
748.86,749.04,739.02,741.2,2390472
746.76,756.87,741.25,742.63,4142265
756.86,757.34,740.33,748.21,5623657
750,755.9,747,753.78,3195272
740.14,746.1,738,745.81,3429217
739.33,739.55,731.63,736.57,2945783
725.71,737.77,722.58,737.61,3938249
722.8,728.11,719.61,728.1,2431431
717.32,728,716.54,725.68,2920423
717.2,719.37,712.54,715.62,2855142
715.75,719.5,713.54,715.6,3070052
700,708,698.17,707.95,4036957
692.01,696.82,682.12,691.36,5584037
693,712.53,692.2,698.96,7632511
715.5,722.12,712.5,722.08,2824974
