"Open","High","Low","Close","Volume"
111.87,112.09,111.18,111.76,9061194
112.18,112.32,111.4,111.71,4409419
112.43,112.45,111.15,111.87,5319516
111.73,112.89,111.72,112.31,7273535
110.92,111.68,110.82,111.52,5213562
111.4,111.5,110.69,110.92,4027448
110.9,111.32,110.69,111.03,4005660
110.87,111.32,110.66,110.84,4929881
110.7,110.93,110.16,110.86,5114421
110.77,110.98,110.09,110.67,4983166
110.34,111.5,110.04,111.24,5843886
111,111.2,110.45,110.59,4715626
110.66,111.8,110.66,111.04,7418101
110,110.4,109.83,110.09,4766038
109.93,110.47,109.83,110.23,3547735
109.62,110.32,109.1,110.32,4786814
110.3,110.49,109.59,109.73,5470661
109.69,110.28,109.53,110.12,5478398
109.94,110.21,109.8,110.01,5432730
110.24,110.5,109.52,110.06,6349161
110.34,110.87,110.09,110.71,7179625
109.91,110.68,109.8,110.18,7087135
109.8,110.33,109.53,110.33,4768695
108.95,109.9,108.9,109.65,5654040
109.35,109.8,108.58,109.26,7671800
109.07,109.85,109,109.49,6369737
109.56,111.42,108.98,109,13615543
109.65,109.73,108.77,109,10184848
109.92,110.15,109.3,109.57,6896292
110.9,111.15,110.21,110.3,7923398
111.21,111.54,110.55,110.61,6515922
110.71,111.99,110.68,111.3,10501334
110.59,110.8,109.98,110.65,8485838
109.86,111.05,108.96,110.94,13793564
108.49,109.4,108.15,109.3,5578292
108.21,108.62,107.98,108.06,6088083
108.23,108.42,108,108.04,6180212
107.2,108.06,107.08,107.9,5456146
107.34,107.68,106.57,107.12,5716598
107.35,107.82,107.18,107.66,5648970
107.92,108.01,107.08,107.28,5350191
106.93,108.4,106.81,108.16,7162904
107.91,108.93,107.65,107.97,7586483
107.16,108.35,106.9,108.06,6488966
108.12,109,107.43,107.53,8218893
108.54,109.49,108.38,109.44,7616804
107.9,108.82,107.35,108.38,7901886
108.58,108.83,108.11,108.36,6195195
108.02,109.35,107.75,108.98,9551309
107.17,107.62,106.79,107.38,6302974
106.64,107.5,106.25,107.44,8321991
105.3,106.9,105.2,106.08,8884273
104.57,105,103.96,104.22,6983340
104.23,104.77,103.87,104.56,5896763
104.99,105.32,104.06,104.3,5178645
104.85,105.56,104.78,105.17,3639546
105.24,105.34,104.75,105.15,3238753
104.96,105.49,104.7,105.42,5230849
104.61,105.91,104.51,105.56,5202436
105.64,106.2,105.06,105.46,8947285
105.7,106.26,105.06,105.3,11475633
104.71,104.72,103.75,103.91,12635516
103.85,105.64,103.82,104.39,8745434
103.62,104.41,103.5,104.05,7961888
104.2,104.31,103.71,103.85,7393171
104.61,104.7,103.73,104.06,7880201
103.49,105.52,103.18,104.86,12173909
101.47,103.96,101.47,103.38,16524763
100.51,102.07,100.44,101.99,12255742
99.95,100.72,99.82,100.66,8427531
98.98,100.27,98.68,99.96,11331542
98.79,99.08,98.25,98.5,7737193
99.13,99.75,98.62,98.94,9958086
99.4,100.29,99,99.12,11369177
99.23,99.68,98.97,99.67,8396803
98.52,99.2,98.32,98.97,7106669
98.71,99.07,98.5,98.82,4396763
97.67,98.28,97.59,98.26,6166487
97.5,97.93,97.27,97.71,5323683
98.11,98.27,97,97.63,10771076
99.05,99.37,98.14,98.24,8586121
99.05,99.5,98.26,99.37,8651917
98.33,99.17,98.1,99.12,9702404
97.9,98.14,97.42,97.7,7184595
97.56,98.31,97.45,97.92,13208417
97.18,98.32,95.78,97.68,23008062
94.89,96.06,94.23,94.96,13777923
92.29,94.92,92.11,94.64,8635729
94.53,94.85,93.9,94.38,6226852
93.77,94.48,92.95,94.43,6996093
93.5,93.79,92.36,92.45,7456486
92.26,94.13,92.24,93.37,7751400
91.91,92.56,91.69,91.91,6716247
92.78,92.99,91.66,92.39,6449806
93.72,93.82,92.31,92.69,9957559
93.89,94.4,93.53,93.85,7309117
93.8,94.34,93.31,94.02,6646969
92.39,93.72,91.9,93.49,7152845
93.14,93.36,92.64,92.75,6380747
93.49,94.15,92.8,93.37,7280985
91.33,94.19,90.6,93.03,13814538
91.66,92.32,91.44,92.03,6153205
91.27,92.14,91,91.93,6140496
91.4,91.74,90.98,91.17,4890775
91.35,91.47,90.56,90.83,5134605
91.77,91.77,91.29,91.3,4345659
90.95,91.36,90.32,91.12,5725154
91.88,92.08,91.39,91.41,6836644
92.33,92.38,91.57,91.86,6651134
92.7,93.21,92.4,92.49,4241028
93.06,93.29,92.02,92.49,6144089
92.75,93.58,92.39,92.83,7484807
92.94,93.28,92.38,92.45,5365007
92.45,92.99,92.11,92.59,5903392
92.47,92.72,92.05,92.49,5834717
92.28,93.49,92.21,92.86,8923683
92.14,93.1,91.53,91.8,7476594
91.75,92.3,91.48,92.2,8272345
91.93,92.18,91.5,91.72,9167391
92.47,92.68,91.4,91.96,10449325
93.07,93.52,93,93.27,4407725
