"Open","High","Low","Close","Volume"
873.68,874.42,868.37,872.37,1868252
870.53,872.71,867.52,870,1104452
867.94,869.88,861.3,868.39,1332885
863.75,867.58,860.13,865.91,1061692
860.83,867.13,860.82,864.58,1166605
862.7,864.23,857.61,861.4,1336585
853.69,860.71,852.67,857.84,1347697
853.12,856.93,851.25,853.64,1029834
847.26,853.33,845.52,851.15,1038696
846.86,848.94,841.17,847.27,1047872
848.94,850.82,844.7,849.08,1006612
856.31,856.49,848.72,849.85,1250938
851.38,858,849.02,856.75,1818671
847.35,848.83,841.44,844.93,1383119
844.95,850.67,843.01,849.67,1010333
847.65,848.36,842.96,847.81,1346189
851.08,852.62,842.5,851,1386681
848,853.79,846.71,851.36,1224889
847.99,852.2,846.55,849.27,1261062
841.31,846.94,839.78,846.55,1461210
838.5,842.69,837.26,842.17,1005084
838.81,841.77,836.22,837.32,1357185
839.77,842,835.83,840.03,1363345
837.7,841.74,836.25,838.96,1295708
832.95,837.15,830.51,834.85,1415128
831.73,831.98,826.5,830.06,1194238
830.53,834.25,825.11,829.88,1302225
825.5,831.92,823.29,829.23,1666605
820.92,822.39,814.29,821.62,1350875
823.13,826.13,819.35,820.13,1528095
815,824.56,812.05,818.26,1689179
824,824,812.25,815.24,2251047
819.5,823.07,813.4,820.19,2020180
837.06,837.23,821.03,823.83,3516933
859,867,841.9,845.03,3752497
859.05,861,850.52,856.98,3493251
853.55,858.79,849.74,858.45,1662148
846.98,851.52,842.28,849.53,1688375
831.61,845.54,828.7,844.43,2457377
829.09,829.24,824.6,828.17,1306183
829,833,823.96,824.37,1070454
829.8,829.81,824.08,829.02,1027698
830,830.18,823.2,827.46,1440905
831,834.65,829.52,830.94,1290182
828.38,830.38,821.01,829.53,1350308
826.62,829.9,821.47,829.86,1325394
827.07,829.41,823.14,826.01,1197442
826.37,830.43,821.62,827.18,1408924
814.99,828.96,811.5,825.21,2017097
807.5,813.74,805.92,813.02,1340535
809.89,813.43,804.11,807.77,1515339
800.62,811.44,796.89,808.01,1959033
803.21,803.28,789.62,792.45,1735879
802.33,805.75,798.14,802.88,1057392
813.33,813.33,802.44,804.57,1214756
808.68,816,805.8,809.93,975962
808.01,810.97,805.11,807.8,765537
809.1,811.07,806.03,809.68,1132119
815.72,815.72,805.1,812.2,1459628
813.37,816.49,811,815.2,1271883
809.28,816.22,804.5,812.5,1263581
818.31,819.2,808.12,809.84,2598866
