"Open","High","Low","Close","Volume"
128.57,129.98,128.42,128.64,12532692
128.3,128.9,127.93,127.98,3945669
128.21,128.3,127.47,127.88,3529288
127.65,128.23,127.5,127.8,2492670
128.01,128.27,127.35,127.61,3130804
128.56,128.59,127.72,127.98,3178943
127.95,128.72,127.69,128.14,3266027
128.07,128.36,127.47,128.09,3571805
128.06,128.31,127.34,128.07,3332350
127.9,128.34,127.4,128.03,3271529
128.19,128.66,127.44,127.9,4071613
129.05,129.81,128.15,128.23,6738068
128.02,130,127.62,129.05,5471550
127.08,127.93,126.58,127.65,4619284
127.68,127.75,126.78,126.99,5184016
128.36,128.74,127.75,128.65,3537175
127.93,128.9,127.44,128.27,3177951
127.52,128.11,126.4,127.85,3670720
127.16,128.32,127.16,128.04,4495173
126.78,127.88,126.68,127.8,3677392
126.75,127.82,126.31,126.7,3006011
125.66,126.79,125.45,126.48,2974932
125.5,126.07,125.27,125.81,2663089
126.02,126.68,125.49,125.54,2993779
124.68,126.11,124.52,125.82,3681436
124.47,125,124.36,124.48,2493605
124.58,125.36,124.49,124.67,2835161
124.95,125.42,124.59,124.59,2847175
124.09,124.9,123.95,124.45,2760306
123.31,124.51,123.28,124.24,3183438
122.54,123.98,122.26,123.22,3236564
121.9,122.5,121.7,122.42,3233576
123.02,123.34,122.1,122.57,3733323
122.81,123.21,122.3,123.02,3777994
122.27,122.99,121.48,122.86,3592676
121.86,122.38,121.76,121.88,2497470
121.49,121.92,120.95,121.79,3968263
121.97,122.06,120.52,121.05,3495211
121.69,122.08,119.82,121.38,7022556
122.26,122.95,122.02,122.26,4887114
122.24,123,122.04,122.18,3155158
122.81,123,121.8,122.71,3395003
120.75,122.8,120.7,122.75,4077567
122.24,122.24,121.1,121.5,2877498
120.3,122.31,120.2,122.1,3480802
120.93,121.5,120.62,120.88,3565185
120.46,120.85,119.73,120.25,3108394
120.76,121.06,120.33,120.43,3021844
118.93,121.5,118.52,120.76,4089186
119.34,120.2,119.1,119.7,4261070
119,119.74,118.18,119.48,3780783
121.86,122,118.96,119.62,5123752
122.79,123.16,121.44,121.72,3574609
122.76,123.36,122.76,122.79,1943461
122.93,123.35,122.61,122.68,1980189
123.3,123.65,122.97,123.07,1919649
123.37,123.83,123.07,123.14,2164391
123.12,124,123.09,123.72,3037126
123.15,123.76,123.1,123.18,2762883
123.18,123.9,122.71,123.33,2768822
123.23,123.66,122.77,122.99,3545487
122.89,123.84,122.54,123.24,10793788
122.97,123.36,121.77,122.36,4402760
122.87,123.4,122.39,122.84,4967405
121.78,122.92,121.76,122.68,4307966
121.57,122.25,121.26,121.74,4172434
120.57,121.27,120.21,121.26,2623713
120.05,121.15,119.5,120.45,3255709
119.41,120.13,118.46,119.92,4059907
119.29,119.65,118.6,119.25,3367984
119.45,120.34,119.03,119.29,5191935
118,118.5,117.71,118.24,3348723
118.96,118.96,117.87,118.47,4444978
120.22,120.49,119.27,119.27,5696096
120.38,120.79,119.02,120.68,6370935
120.38,121.87,120.23,121.82,5931717
120.08,120.99,119.92,120.66,1709105
119.73,120.76,119.73,120.14,2872059
119.5,120.29,118.88,119.69,3699103
119.8,120.5,118.96,119.5,3603269
119.26,120.24,118.91,120,3655358
118.89,119.5,118.28,119.45,2833579
118.86,119.6,118.46,119.21,5371085
117.58,118.48,117.02,118.32,4447865
114.99,118.75,114.72,117.86,7093249
114.67,114.96,114.17,114.22,4331192
115.03,115.04,113.78,114.51,4437714
112.09,115.42,111.8,114.98,5099493
113.01,114.25,113,114.11,3300157
112,113.28,111.88,112.82,3842380
111.99,112,110.83,111.04,3457385
112.74,112.85,111.52,111.72,3890687
112.1,112.77,111.82,112.39,3512534
112.65,112.77,111.95,112.25,3935634
112.46,112.73,111.79,112.57,4181577
112.26,112.35,111.53,112.1,3304686
112.17,112.49,111.78,112.08,2960726
112.27,112.7,111.4,112.11,3763114
113.5,113.54,112.67,112.72,4878955
114.25,114.5,112.64,113.57,6173488
113.27,114.5,112.75,113.93,10108048
111.3,111.3,110.33,110.57,7250742
111.71,111.77,111.12,111.26,6433443
112.89,113.09,111.23,111.25,6198363
113.91,114.4,112.1,112.41,5655748
114.9,115.11,114.07,114.09,5312532
114.14,115.74,114.07,115.41,4464728
113.6,115.23,113.54,114.71,3340166
114.65,115.23,113.56,113.68,3943282
114.21,114.99,114.16,114.71,3290302
113.97,114.34,113.22,113.45,4153139
113.25,114.22,112.4,113.92,3899954
113.91,114.83,113.38,113.41,3720334
114.99,115.51,113.42,113.5,4742913
115.01,115.15,114.41,114.64,3085770
114.69,115.71,114.69,115.36,4188694
115.2,115.97,114.73,114.79,4924448
116.38,116.53,114.46,115.18,5638874
116.95,117.2,116.37,116.88,3745396
116.8,116.94,116.28,116.53,3022356
116.49,117.52,116.35,117.17,2775956
117.46,117.95,117.28,117.36,3808802
116.49,117.05,115.96,116.93,4528903
115.72,116.63,115.5,116.45,3841800
115.83,116.41,114.96,115.21,3741507
115.68,116.26,114.83,115.28,9500452
114.88,116.24,114.77,116.14,3674687
115,115.66,114.82,115.18,4530713
115.61,115.61,114.48,114.73,4162162
114.47,116.18,114.13,115.95,5014014
115.6,115.76,114.58,114.58,4961070
116.82,117.11,116.04,116.17,3085582
117.27,117.49,116.44,116.92,2647685
117.09,119.24,116.91,117.25,6337938
115.93,116.11,115.7,115.83,3410123
115.51,115.81,114.86,115.4,3966619
115.51,116,115.2,115.66,5394668
115.41,115.87,114.6,115.36,5085332
114.6,115.65,114.5,115.41,4982952
115.63,115.72,113.96,114.44,5294499
115.1,115.78,114.88,115.43,6694088
115.15,115.4,114.73,114.87,4135442
115.91,116.12,115.05,115.19,4305419
115,115.73,114.65,115.42,4484694
116.8,116.8,115,115.01,7065676
117.24,117.36,116.8,117.13,3710532
117.98,117.98,116.52,117.1,5184865
118.31,118.53,117.92,117.94,3333942
119.02,119.25,118.52,118.52,3391619
119.57,120.02,119.28,119.52,3015659
118.87,119.75,118.85,119.38,3490215
118,118.94,117.65,118.8,2941743
117.98,119.13,117.6,118.31,3491668
119.17,119.37,118.2,118.29,3589327
118.78,119.45,118.6,119.21,3883771
117.85,118.55,117.58,118.3,4313219
117.77,118.02,117.14,117.52,4120014
118.18,118.71,117.11,117.7,4504168
117.88,118.39,117.74,118.01,4208757
119.14,119.66,117.43,117.65,7460860
119.59,120.18,118.36,119.42,6239355
121.69,121.79,119.24,119.48,9939199
123.5,124.35,120.97,121.71,14563682
127.95,127.95,126.86,127.4,6210059
127.29,128.6,127.29,128.26,4304163
126.42,127.23,125.93,127.18,3596912
126.84,126.87,125.56,126.06,3353313
124.08,126.6,123.75,126.5,6277670
124,124,123.39,123.8,5254727
124.42,124.44,123.39,123.61,3688425
123.7,124.21,123.01,123.93,6011933
122.36,123.02,122.16,122.82,3464177
122,122.59,121.96,122.25,3742030
121.69,122.12,121.46,122,4266347
121.22,121.69,121.08,121.31,3809635
120.89,121.24,120.41,120.92,3621346
119.29,120.96,119,120.63,5102758
120.12,120.8,120.1,120.76,5191103
119.72,120.86,119.66,120.4,3798100
119.68,120.45,119.3,120.34,4808068
119.16,119.96,119,119.49,5020404
117.2,118.64,116.83,118.5,6172978
118.16,118.16,116.08,116.3,14159800
118.76,121.11,118.29,119.44,6985935
121.48,121.75,120.64,121.21,3832757
121.31,121.45,120.05,120.62,6578905
123.92,124,122.31,122.63,4749755
123.32,124.08,123.27,123.42,5951035
122.23,122.71,121.42,122.27,8331396
121.84,122.63,120.95,122.47,3931956
123.19,123.32,122.13,122.25,4168099
122.54,123.19,121.93,122.51,6351355
121.95,123.96,121.85,122.99,5436736
121.8,122.66,121.61,122.36,4347385
122.07,123.09,122.07,122.79,4583522
121.98,122.49,120.89,122.11,3925901
122.34,123.38,121.9,121.9,4562104
121.79,122.17,121.2,122,4901956
121.09,121.67,120.34,121.35,4643011
120.7,121.51,120.55,121.17,4740240
121.6,122.74,121.5,121.97,5057195
123.3,123.41,121.62,122.06,7995178
124.27,124.68,123.12,123.25,3220817
123.38,123.98,123.23,123.79,3709787
123.75,123.99,123.03,123.26,5305724
123.39,124.77,123.01,123.95,4494068
122.76,123.73,122.47,122.81,7077225
124.74,125,122.14,122.56,9732235
125.48,125.6,124.68,125.29,6254504
127.05,127.47,125.73,126.21,7293117
129.6,129.97,127.3,127.69,5820763
128.51,129.73,128.05,129.64,4343215
129.74,130.16,128.71,128.83,6162402
129.74,130.54,129.16,130.12,4286808
131.24,131.62,129.14,129.14,6874179
130.85,131.96,130.85,131.6,4076687
130.65,131.5,130.35,130.83,5004256
