"Open","High","Low","Close","Volume"
64.91,65.24,64.68,64.87,49219686
64.75,64.76,64.3,64.64,20674296
64.55,64.92,64.25,64.75,24833810
64.53,64.55,64.15,64.41,14280202
65.01,65.2,64.57,64.71,20100035
65.11,65.26,64.75,64.93,19538245
65.19,65.2,64.48,64.73,19846832
64.26,65.08,64.25,64.99,21510907
64.19,64.78,64.19,64.4,18520987
63.97,64.56,63.81,64.27,18750255
63.99,64.28,63.62,64.25,18139405
64.69,64.75,63.88,64.01,24539597
64.13,64.99,64.02,64.94,26937459
64.08,64.2,63.76,63.98,23239825
64.54,64.54,64.04,64.23,15871507
64.53,64.8,64.14,64.62,21796800
64.42,64.73,64.2,64.62,20273128
64.33,64.39,64.05,64.36,19292651
64.61,64.95,64.45,64.49,20655869
64.47,64.69,64.3,64.62,21248818
64.74,65.24,64.44,64.52,20546345
64.5,64.57,64.16,64.53,17005157
64.41,64.72,64.02,64.57,23108426
64.24,64.86,64.13,64.72,22920101
64.25,64.3,63.98,64,18170729
63.52,64.44,63.32,64.06,22644443
63.57,63.81,63.22,63.34,18096358
63.74,63.78,63.23,63.43,20277226
63.5,63.65,63.14,63.64,19796360
63.5,63.7,63.07,63.68,30301759
63.25,63.41,62.75,63.17,45827013
64.36,64.62,63.47,63.58,39671528
64.86,65.15,64.26,64.65,25270549
65.69,65.79,64.8,65.13,31651445
65.39,65.91,64.89,65.78,44817972
64.12,64.54,63.55,64.27,43554645
63.95,64.1,63.45,63.68,24654933
63.2,63.74,62.94,63.52,24672940
62.7,63.12,62.57,62.96,23097581
62.67,62.82,62.37,62.74,30213462
62.24,62.98,62.2,62.3,18451655
62.67,62.7,62.12,62.5,19670102
62.68,62.7,62.03,62.53,20663983
62.62,62.86,62.35,62.7,19422310
63.06,63.4,61.95,62.61,20968223
62.61,63.23,62.43,63.19,21517335
62.73,63.07,62.28,62.62,18593004
62.76,63.08,62.54,62.64,20382730
62.3,63.15,62.04,62.84,19922919
62.19,62.66,62.03,62.3,24875968
62.48,62.75,62.12,62.3,21339969
62.79,62.84,62.12,62.58,20694101
62.96,62.99,62.03,62.14,25579908
62.86,63.2,62.73,62.9,10250582
63.4,63.4,62.83,62.99,14653348
63.21,64.07,63.21,63.28,11763173
63.45,63.54,62.8,63.24,12403819
63.84,64.1,63.4,63.55,22176585
63.43,63.7,63.12,63.54,17096304
63.69,63.8,63.02,63.54,26028379
62.56,63.77,62.42,63.62,34338219
62.95,62.95,62.12,62.3,42453083
62.7,63.15,62.3,62.58,27669868
63,63.45,62.53,62.68,30352654
62.5,63.42,62.24,62.98,35718868
61.82,62.3,61.72,62.17,20198081
61.18,61.99,61.12,61.97,27349356
61.3,61.58,60.84,61.01,21220753
60.01,61.38,59.8,61.37,30808969
60.43,60.46,59.8,59.95,19907035
59.7,60.58,59.56,60.22,23552658
59.08,59.47,58.8,59.25,25515665
60.11,60.15,58.94,59.2,34542121
60.86,61.18,60.22,60.26,34655435
60.65,61.41,60.52,61.09,22366721
60.34,61.02,60.21,60.61,20732619
60.3,60.53,60.13,60.53,8409616
61.01,61.1,60.25,60.4,21848913
60.98,61.26,60.8,61.12,23206700
60.5,60.97,60.42,60.86,19652595
60.78,61.14,60.3,60.35,27686311
60.41,60.95,59.96,60.64,31463728
58.94,59.66,58.81,59.65,27332475
58.33,59.49,58.32,58.87,35904126
59.02,59.08,57.28,58.12,41328422
58.23,59.12,58.01,59.02,38767843
60.48,60.49,57.63,58.7,57822394
60,60.59,59.2,60.17,49632479
60.55,60.78,60.15,60.47,22935355
59.78,60.52,59.78,60.42,31664798
58.65,59.28,58.52,58.71,28697016
59.53,59.64,59.11,59.21,21600427
59.82,59.93,59.3,59.43,22147005
