"Open","High","Low","Close","Volume"
54.7,54.78,54.29,54.29,14193773
54.4,54.95,54.25,54.59,6354148
54.6,54.71,54.12,54.57,8525531
55.2,55.37,54.68,54.75,6000109
55.38,55.61,54.84,55.19,7522155
55.35,55.88,55.05,55.36,7591344
55,55.35,54.41,55.2,10878125
55.44,55.55,55,55.02,9417328
56.1,56.43,55.05,55.14,13236473
57.3,57.35,56,56.1,11313404
58.24,58.28,57.09,57.35,9081381
58,58.52,57.75,57.95,10976567
58.78,59.33,57.35,57.83,22807965
57.41,59.67,57.3,58.77,45305358
66.39,67.08,66.23,66.91,6839214
65.26,66.64,64.93,66.51,6909008
66.04,66.15,64.87,64.98,4867949
66.06,66.28,65.6,65.94,3029411
66.26,66.39,65.79,66.21,4838643
65.24,65.9,64.92,65.79,4235409
65.77,65.85,65.03,65.2,3324994
65.5,65.95,65.24,65.75,3974019
64.52,65.66,64.52,65.65,5117112
65.62,65.7,64.53,64.81,4218239
66.51,66.96,65.22,65.73,5520829
64.75,66.54,64.61,66.41,7754811
63.51,64.91,63.38,64.77,4510987
63.88,64.16,63.45,63.57,4256011
63.77,63.95,63.36,63.42,6003260
63.86,64.35,63.52,63.75,4965670
63.91,64.17,63.66,63.68,5518350
63.98,64.16,63.46,63.67,5307383
63.8,64.5,63.45,64.48,5735135
63.7,64.14,63.49,64.12,5220543
64.55,64.77,62.94,63.7,7471961
64.85,64.91,64.12,64.17,4393109
64.73,65.16,64.66,65,5702524
63.85,64.42,63.6,64.41,6084409
64.07,64.55,63.55,63.85,7908974
65.39,65.41,63.78,64.1,12983487
66.33,66.88,65.06,65.39,12274917
68,68,66.35,66.85,19063189
70.76,72.08,70.63,70.94,5426688
71.07,71.38,70.03,70.19,5332594
71.43,71.71,70.79,71.25,4163181
71.68,71.93,71.32,71.61,3479904
71.38,72.01,71.01,71.43,4681789
71.55,71.87,71.36,71.43,3814266
71.98,72.23,71.18,71.44,5235096
72.33,72.72,70.85,72.56,7096253
73.1,74.24,73.1,73.81,5316224
72.66,72.89,71.99,72.75,3907138
72.71,72.93,71.88,72.23,3069205
72.78,73.17,72.43,72.62,2795528
73.75,73.98,72.75,72.83,2648487
73.83,74.23,73.56,73.7,2200280
73.98,74.48,73.29,73.5,3333675
76.85,77,73.41,73.74,8438782
77.37,77.87,77.12,77.13,2152416
77.35,78,77.26,77.65,3504622
76.58,77.64,76.52,77.04,2856602
77.04,78.37,76.48,76.75,8217424
77.14,77.7,76.79,76.98,4089392
77.45,77.85,76.85,77.19,6045447
77,78.06,76.49,77.67,4925649
76.98,77.43,76.35,76.74,4489290
77.44,77.68,76.88,77.39,4047724
77.35,78.42,77.16,77.84,5090514
76.79,77.18,76.1,76.97,6791043
76.91,77.08,76.05,76.77,7704230
78.01,78.08,76.8,76.98,7173255
77.24,78.4,76.83,77.94,7523696
76.86,78.58,76.59,77.82,6685299
77.73,78.04,77.06,77.24,5819108
78,78.69,77.75,78.41,4693985
78.37,78.94,77.5,77.72,5405472
78.85,79.33,78.42,78.61,2543818
77.93,78.96,77.58,78.48,6783783
76.89,78.13,76.86,77.87,5853334
76.12,76.81,76,76.51,4477038
75.9,76.39,75.69,76.19,6057511
76.18,76.43,75.4,76.13,8054493
77.5,78.3,75.56,76.03,22059179
72.31,72.37,71.17,71.44,7693838
71.07,72.88,70.85,72.17,7455374
70.43,71.54,70.2,71.35,5330556
69.67,72.2,69.39,70.54,9639342
66.29,69.25,66.01,68.81,9570730
67.36,67.74,66.65,67.05,5097538
67.22,67.56,67.03,67.53,4777725
66.72,67.31,66.52,66.53,3937253
68.54,68.59,66.55,66.67,5068432
67.72,68.49,67.35,68.26,3970626
68.66,68.83,67.4,67.78,4019538
68.78,69.25,68.51,68.73,3349469
67.72,69.25,67.72,68.83,4114513
68.59,68.78,67.49,67.62,3731161
67.88,68.96,67.79,68.59,2846524
68,68.33,67.8,67.95,2553058
68.33,68.7,68,68.26,2545825
67.43,68.45,67.25,68.23,3121799
67.62,67.89,67.45,67.71,3961217
67.63,67.7,67.12,67.53,2619614
67.55,67.72,67.01,67.36,3011649
67.98,68,67.09,67.24,4059496
67.9,68.55,67.71,68.11,3818656
67.67,68.18,67.31,67.89,3292090
68.46,68.56,67.81,67.86,4279641
68.79,69.02,68.28,68.39,3029888
69.41,69.41,68.69,68.86,2724148
68.61,69.21,68.48,69.04,3863103
67.54,68.58,67.21,68.41,5032349
68.62,68.72,67.63,67.74,4762294
68.78,69.56,68.5,68.65,4376546
68.5,69.03,68.38,68.68,3295871
67.77,68.9,67.77,68.68,4900507
67.85,68.27,67.67,67.72,2887308
68.22,68.36,67.73,67.82,3376036
68.05,68.5,67.73,68.29,5778369
68.45,68.45,67.12,67.22,6902755
68.37,68.98,68.3,68.77,3541859
69.66,70.06,68.04,68.56,7619220
69.15,69.64,68.72,69.47,4310961
69.19,69.29,68.48,68.62,2988173
69.38,69.77,68.87,68.89,4504553
68.92,69.33,68.76,69.23,7138033
68.06,69.32,67.92,69.21,5374772
69.29,69.46,68.09,68.2,6637978
69.1,69.45,68.82,68.94,9374923
68.45,69.52,68.21,69.3,8167857
69.04,69.42,68.75,69,6177793
70.3,70.3,69.42,69.46,9141190
69.94,70.42,69.81,70.3,5131516
70.88,70.96,69.57,70.1,8235233
70.95,71.43,70.46,70.81,7857048
70.34,70.7,70.1,70.58,5199939
70.17,70.85,69.93,70.19,5025088
71.04,71.14,70.12,70.39,4031767
70.43,71.14,70.3,71.05,3992230
70.78,71.5,70.08,70.35,5023072
71.41,72.1,70.59,70.81,5067950
71.23,71.94,71.19,71.73,5780453
70.59,71.5,70.59,71.05,5622696
70.3,70.58,69.82,70.39,4548885
70.11,70.72,69.99,70.12,5930769
70.43,70.71,69.24,70.3,11650904
70.48,71.65,69.9,70.63,19611514
75.48,76.08,75.12,75.48,6924199
75.58,76.23,75.27,75.53,5373376
74.36,75.96,74.26,75.81,6670915
75.15,75.18,73.53,74.01,6311362
72.88,73.38,72.66,73.05,4037414
73.62,73.62,71.74,72.61,7492563
75,75.52,74.55,75,3022164
74.51,75.11,74.34,74.94,3056570
74,74.47,73.78,74.14,3095306
73.21,74.11,72.16,74.1,5490134
75.96,76.44,73.69,73.89,5072157
74.84,75.56,74.67,75.51,3818161
