"Open","High","Low","Close","Volume"
13.46,13.55,13.38,13.49,4214558
13.46,13.51,13.33,13.42,2655679
13.33,13.53,13.27,13.48,1744651
13.21,13.32,13.1,13.28,1483535
13.23,13.28,13.17,13.25,1999337
13.27,13.39,13.14,13.25,1740832
13.32,13.37,13.12,13.19,1875940
13.35,13.43,13.27,13.3,1655004
13.49,13.49,13.32,13.33,2693868
13.51,13.58,13.39,13.46,2221503
13.68,13.78,13.55,13.56,2026464
13.85,13.93,13.7,13.73,2989044
14.04,14.12,13.88,13.91,4034978
13.81,13.96,13.77,13.94,6760776
13.65,13.88,13.63,13.85,3860664
13.66,13.7,13.5,13.67,3813532
13.65,13.69,13.41,13.44,3725192
13.89,13.98,13.65,13.69,3566837
14.22,14.4,13.98,14.13,4724667
13.69,14.17,13.6,14.13,4578088
14,14.08,13.38,13.69,11088179
14.29,14.46,14.08,14.34,6318002
14.27,14.4,14.25,14.29,4628066
14.42,14.46,14.22,14.31,4561135
14.29,14.46,14.18,14.33,3587972
14.21,14.31,13.95,14.22,2967532
13.77,14.09,13.74,13.96,2343960
13.8,13.95,13.73,13.8,1917148
13.77,13.9,13.67,13.77,1908908
13.62,13.83,13.62,13.82,3066391
13.51,13.69,13.43,13.62,2281146
13.58,13.64,13.44,13.44,3001340
13.67,13.67,13.39,13.53,2388996
13.69,13.72,13.56,13.7,2020257
13.88,13.95,13.62,13.77,1954920
13.84,13.97,13.68,13.84,2681441
13.78,13.98,13.73,13.76,2029080
13.62,13.81,13.57,13.77,2239114
13.47,13.59,13.39,13.58,2406766
13.54,13.68,13.46,13.49,1977017
13.52,13.59,13.4,13.49,2290723
13.46,13.56,13.34,13.48,2919180
13.8,13.88,13.34,13.44,2888357
13.8,14.01,13.76,13.89,2354797
13.65,13.82,13.57,13.8,1835803
13.51,13.66,13.42,13.64,1710497
13.47,13.61,13.38,13.5,1945456
13.25,13.48,13.09,13.43,2304787
13.34,13.44,13.15,13.25,4629999
13.61,13.71,13.36,13.64,3952023
13.44,13.64,13.37,13.63,2788318
13.55,13.64,13.25,13.42,4390302
13.77,13.77,13.49,13.52,1926809
13.78,13.82,13.68,13.71,1891233
13.89,13.95,13.65,13.75,1310838
