"Open","High","Low","Close","Volume"
70.58,70.75,69.81,69.89,14078353
70.11,70.7,70.07,70.44,7060977
70.5,70.7,70.02,70.58,8813794
70.82,71.2,70.72,70.72,9958370
69.99,70.45,69.71,69.95,6802511
70,70.36,69.8,70.1,7098829
69.75,70.04,69.56,69.86,7564480
69.69,70.03,69.54,69.8,7979841
69.9,70.21,69.86,69.87,7282861
70,70.44,69.78,69.88,9182575
70.81,71.02,69.88,70.03,9303591
70.42,70.9,70.17,70.76,8916264
70.97,71.08,70.15,70.45,13522717
70.87,71,70,70.93,15952573
72.28,72.42,71.52,71.74,9254685
71.34,72.8,71.3,72.39,13889852
72,72.5,71.16,71.31,12799700
72.25,72.37,71.48,71.71,15242674
71.21,72.28,70.7,71.45,22412893
68.83,69.78,68.7,69.37,12837447
68.67,69.24,68.61,68.87,8413787
67.8,68.71,67.76,68.69,8563295
67.88,68.68,67.71,68.66,8462328
68.32,68.65,67.56,67.77,8374307
68.25,68.6,67.76,68.02,12445633
67.8,69.14,67.75,69.08,11080479
66.89,67.82,66.89,67.81,7660755
66.56,67,66.51,66.89,5805722
66.37,66.86,66.37,66.4,9097238
66.82,66.93,66.44,66.5,7625330
66.34,67.14,66.34,66.7,8998739
66.46,66.71,66.04,66.23,9049972
66.21,66.89,65.88,66.74,9320880
65.63,66.48,65.63,66.42,8641511
66.86,66.97,65.28,65.66,13433629
67.13,67.22,66.62,66.73,6504073
67.52,67.73,66.79,66.89,8722855
66.89,67.41,66.66,67.4,10710616
67.01,67.18,66.56,66.65,7951427
67.74,67.83,67.02,67.18,12054682
68.13,68.19,67.48,67.62,6821078
67.88,68.11,67.54,68.11,7321456
68.09,69.29,68.06,68.42,13167509
67.98,68.02,67.08,67.13,10012519
68.36,68.56,67.92,67.97,6544856
68.2,68.62,68.19,68.53,6697593
68.64,69.27,68.22,68.23,10256492
68.33,68.8,68.32,68.71,8685232
68.41,68.5,68.01,68.26,9491115
68.43,69.33,68.12,69.21,7099170
68.66,69.63,68.6,69.06,7917952
69.24,69.24,68.05,68.66,10473162
69.12,69.43,68.83,69.12,6889488
69.21,69.52,69.12,69.26,4298446
69.94,70,69.26,69.31,4875651
