"Open","High","Low","Close","Volume"
46.73,46.9,46.5,46.59,6192404
46.6,46.62,46.3,46.61,3627081
46.55,46.55,45.9,46.29,6279298
46.41,46.76,46.19,46.37,3800294
46.1,47,46.1,46.57,4702990
46.2,46.2,45.75,45.98,3824529
45.87,46.12,45.68,45.94,3767567
45.85,46.19,45.73,45.98,3331722
45.5,45.92,45.49,45.73,5116841
45.61,45.69,45.39,45.64,6694863
45.88,46,45.6,45.91,6758310
46.02,46.13,45.62,45.94,7017056
45.89,46.41,45.89,46.24,7258451
45.57,45.75,45.25,45.66,7201973
45.45,45.74,45.24,45.71,4006922
45.14,45.55,44.95,45.55,3714785
46.04,46.14,45.29,45.41,7812053
45.47,46.34,45.45,45.98,7730221
45.22,45.61,45.1,45.5,8115953
44.95,45.34,44.79,45.1,9417191
45.65,45.69,45.01,45.16,8972022
45.03,46.72,44.64,45.65,22509206
45.38,45.58,44.9,45.02,6676842
45.08,45.57,44.94,45.46,7491311
45.15,45.23,44.96,45.03,4158744
44.95,45.24,44.82,45.08,3769280
44.5,45.19,44.34,45.07,6531000
44.43,44.59,44.19,44.37,4445846
43.62,44.53,43.56,44.42,7308775
43.9,43.99,43.66,43.71,6422438
43.63,44,43.58,43.69,5065117
44.25,44.26,43.71,43.78,5307216
43.78,44.15,43.67,44.07,5153697
44.22,44.22,43.7,43.93,6906121
44.54,44.71,44.23,44.42,4943138
44.83,45.08,44.4,44.55,9974613
44.11,45,44.09,44.94,14388287
43.65,44.22,43.43,43.9,24933488
41.95,42.45,41.84,42.4,13662837
42.33,42.54,41.86,42.05,5511713
42.05,42.19,41.9,42.09,6005615
42.15,42.15,41.8,42.03,3594963
42.06,42.18,41.84,41.99,4779009
42.11,42.46,42.02,42.27,4513026
42.34,42.46,41.7,42.11,6024900
42.27,42.59,42.07,42.59,6946237
41.89,42.37,41.54,42.3,8111079
41.17,41.66,41.12,41.34,7797445
41.25,41.34,40.85,41.23,6087644
40.31,41.37,40.24,41.34,13122100
39,40.25,38.92,40.06,11759453
39.11,39.18,38.64,38.9,6084699
38.72,39,38.43,38.67,6432792
38.76,38.93,38.48,38.64,4170497
39.12,39.22,38.71,38.73,4428368
38.59,39.06,38.5,38.92,4240285
38.46,38.81,38.37,38.66,3841245
38.69,38.79,38.26,38.5,11685650
39.08,39.32,38.97,39.15,8296515
38.4,39.18,38.24,39.16,25008427
38.66,38.79,38.27,38.42,13615511
38.62,39.22,38.42,38.61,21694081
40,40,38.25,38.41,43669990
41.44,41.53,40.83,40.91,19555694
41.35,41.79,41.14,41.47,6564552
41.45,41.53,41.12,41.3,4451709
41.52,41.8,41.44,41.76,6836112
40.66,41.6,40.42,41.41,9171707
39.98,40.57,39.75,40.52,7208492
40.31,40.42,39.88,39.97,6987846
40.02,40.39,39.85,40.2,4408407
39.77,40.32,39.58,40.07,8588544
41,41.04,39.53,39.63,12624139
41.62,41.67,40.88,41.02,7644360
41.43,41.83,41.12,41.6,13085981
40.85,41.7,40.74,41.45,6836364
41.08,41.08,40.71,40.87,2586908
40.91,40.98,40.54,40.96,3719257
41.2,41.4,40.83,41.01,8881541
41.44,41.48,40.94,41.11,11355856
41.48,41.65,40.9,41.19,8138928
41.34,41.65,41.2,41.45,8692013
40.1,41.05,40.1,40.98,15609553
39.61,40.45,39.58,40.21,13364918
40.36,40.39,38.87,39.3,12692293
39.84,40.52,39.37,40.42,15178907
41.55,41.65,39.54,40.16,16443786
40.44,41.39,40.22,41.21,24000065
40.97,41.28,40.68,41.16,4229743
41.17,41.23,40.86,41.05,5430744
39.96,40.67,39.8,40.28,4579437
40.62,40.75,40.18,40.23,8112820
41.8,42.16,40.36,40.68,13019956
41.13,41.34,40.69,41.33,11751521
42.03,42.16,41.55,41.55,3749658
42.03,42.22,41.71,41.78,6197469
42.31,42.49,41.81,41.87,7240848
42.26,42.44,41.95,42.08,6123026
42.72,42.75,42.43,42.55,5338875
42.5,42.68,42.38,42.59,4346851
42.1,42.2,41.73,42.17,7194168
42.69,42.69,42.07,42.38,11671022
42.3,42.94,42.26,42.73,14532469
42.04,42.6,41.63,41.68,19360802
41.35,41.94,41.24,41.79,8620369
42.04,42.25,41.4,41.44,7781258
42,42.08,41.17,41.62,15689711
42.6,42.78,42.05,42.36,7290843
43.87,44.08,42.49,42.68,9513283
43.36,44.07,43.25,43.92,6573631
43.26,43.68,43.12,43.22,8502112
43.64,43.82,43.37,43.68,6293908
43.23,43.87,43.22,43.71,6118487
43.2,43.5,42.96,43.18,8998384
42.95,43.18,42.82,43.13,7965922
42.74,43.25,42.72,43.1,10374757
43.17,43.3,42.43,42.57,13720746
43.4,43.72,43.25,43.69,7418984
42.43,43.41,42.32,43.37,8765715
42.38,42.74,41.85,42.29,12745119
43.5,43.76,42.54,42.8,31888521
43.94,44.87,43.74,44.15,33355616
42.89,44.22,42.89,44.14,12313680
43.24,43.38,42.66,42.79,9788923
43.92,43.95,43,43.19,7887375
43.94,44.02,43.47,43.67,19093930
43.41,44.05,43.22,43.99,12535634
42.91,43.62,42.86,43.46,11625287
43.19,43.52,42.69,43.04,10132044
42.28,43.65,42.18,43.46,10808806
43.92,44.15,42.82,42.92,12060737
44.07,44.72,44.03,44.36,7882609
44.55,44.92,44.19,44.35,9109446
43.5,44.85,43.5,44.71,18125776
43.27,43.6,43.08,43.28,7334914
42.78,43.1,42.72,42.93,5575305
42.46,42.8,42.46,42.75,7715941
42.28,42.74,42.28,42.58,5804080
42.2,42.46,42.08,42.26,4555600
42.15,42.61,41.94,42.27,6327991
41.83,42.24,41.73,42.03,5360912
42.5,42.77,41.79,41.91,6930295
42.61,42.91,42.45,42.6,8963786
42.84,42.87,42.33,42.52,6229402
42.8,43.12,42.64,43.02,9460753
42.69,42.97,42.58,42.9,11294419
42.39,42.75,42.39,42.7,8571927
42.3,42.79,41.95,42.49,13793794
43.18,43.29,42.43,42.67,14441784
41.28,42.98,41.28,42.94,25182851
41.12,41.73,40.93,41.27,23938864
39.34,39.98,39.3,39.93,12981568
39.24,39.31,39.1,39.24,5971530
39,39.27,38.86,39.24,10131279
39,39.15,38.9,38.99,9127094
38.47,39.03,38.43,38.92,11000843
38.43,38.55,38.28,38.39,5890051
38.6,38.67,38.26,38.57,7504721
38.18,38.89,38.1,38.8,9605006
38.47,38.52,38.08,38.19,13199145
38.58,38.64,38.23,38.52,7424404
38.66,38.77,38.43,38.66,12148433
38.07,38.83,37.9,38.76,15978647
39.2,39.21,38.22,38.32,41814378
38.9,39.42,38.78,39.38,11325660
39.01,39.25,38.72,38.85,7671760
38.36,38.93,38.26,38.9,8177973
37.77,38.49,37.65,38.17,10393957
37.68,37.97,37.5,37.95,16046777
38.16,38.18,37.68,37.72,13513375
37.85,38.35,37.85,37.96,10713015
37.99,38.01,37.46,37.64,9566060
38,38.33,37.87,37.89,15224047
37.44,38.15,37.37,37.96,20342573
37.53,37.84,37.06,37.74,8786614
37.57,37.76,37.29,37.52,9031440
37.43,37.56,37.13,37.51,8328101
37.68,37.77,37.17,37.5,8746735
37.56,38.08,37.43,37.99,10602792
36.89,37.58,36.89,37.56,15209878
36.25,37.08,36.25,36.86,10808162
35.58,36.14,35.5,36.04,10990713
35.87,36.01,35.05,35.22,14157606
36.4,36.95,36.08,36.24,19657828
37.64,37.78,37.41,37.78,7710892
37.37,37.52,37.17,37.36,6279215
37.37,37.55,37.2,37.4,5574603
37.27,37.68,37.24,37.29,8957313
37.43,37.44,36.81,36.94,12593900
37.39,37.45,36.54,37.39,10634046
37.43,37.6,37.1,37.32,10213170
36.63,37.44,36.63,37.4,13023127
36.7,36.91,36.42,36.47,6519751
36.97,37.14,36.59,36.83,11216470
36.82,37.73,36.71,37.35,14759107
36.84,37.3,36.84,36.97,9181896
36.9,36.99,36.62,36.73,14757059
36.67,37.2,36.52,37.07,8426142
37.11,37.11,36.5,36.6,12059105
36.66,37.22,36.58,37.15,12179259
37.25,37.74,36.56,36.65,22177647
37.73,38.08,37.5,37.94,12873630
36.88,37.88,36.84,37.82,14642533
36.13,36.85,36.07,36.76,16277866
36.63,36.96,35.47,35.59,33984864
36.85,37.63,36.77,37.53,10601318
36.46,36.94,36.43,36.66,7768631
36.05,36.72,35.88,36.5,34311031
36.94,37.23,36.67,37.02,7096480
37.09,37.5,36.89,37.24,8465904
37.44,37.7,37.25,37.27,11335505
37.03,37.79,36.88,37.48,16976456
36.91,37.07,36.38,36.48,10996727
37.39,37.51,36.79,37.03,11169187
37.28,37.63,37.2,37.37,9997359
37.17,37.58,37.14,37.44,7171353
36.97,37.35,36.92,37.18,6149115
36.55,37.31,36.49,37.23,9208343
37.06,37.45,36.86,36.94,13699177
35.81,36.09,35.74,36,9649269
36.25,36.41,35.91,36.01,8774971
36.65,36.74,36.32,36.53,6581891
36.51,36.98,36.15,36.6,11954114
36.84,37.44,36.51,36.59,13148503
37.52,37.59,36.63,36.95,16391163
37.32,37.54,36.91,37.11,10059564
37.47,37.54,37.18,37.23,9823457
37.5,38.09,37.16,37.48,9071816
37.92,38.12,37.35,37.67,11633739
37.1,38.18,37,37.84,30758921
36.46,36.73,36.11,36.33,20014080
36.24,37,35.88,36.52,17723026
37.13,37.15,36.42,36.51,19016188
