Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
1,Arizona Diamondbacks,1998,2016,"3,078","1,503","1,575",0.488,-72,5,1,1,5,429,2,"13,905","105,358","27,215","3,177",0.258,"14,267",4.27
2,Atlanta Braves,1876,2016,"21,023","10,438","10,432",0.5,6,17,17,3,23,1942,51,"93,401","719,934","187,122","13,311",0.26,"92,715",3.65
3,Baltimore Orioles,1901,2016,"18,120","8,592","9,418",0.477,-826,9,7,3,14,1777,29,"78,127","615,418","159,295","12,885",0.259,"82,771",4
4,Boston Red Sox,1901,2016,"18,107","9,317","8,707",0.517,610,8,13,8,22,1762,36,"84,200","619,261","165,515","13,091",0.267,"81,005",3.9
5,Chicago Cubs,1876,2016,"21,056","10,711","10,188",0.513,523,6,17,3,18,2029,44,"96,851","721,396","189,539","13,729",0.263,"93,646",3.68
6,Chicago White Sox,1901,2016,"18,116","9,082","8,931",0.504,151,5,6,3,9,1720,30,"78,916","613,440","159,816","10,960",0.261,"78,265",3.75
7,Cincinnati Reds,1882,2016,"20,642","10,389","10,117",0.507,272,10,10,5,15,1942,35,"92,690","704,208","184,180","12,814",0.262,"91,531",3.72
8,Cleveland Indians,1901,2016,"18,119","9,191","8,837",0.51,354,8,6,2,12,1840,31,"81,893","618,090","164,290","12,518",0.266,"80,336",3.84
9,Colorado Rockies,1993,2016,"3,826","1,784","2,042",0.466,-258,0,1,0,3,538,0,"19,357","131,814","36,285","4,324",0.275,"20,291",4.99
10,Detroit Tigers,1901,2016,"18,145","9,171","8,881",0.508,290,7,11,4,16,1637,22,"83,969","619,259","164,569","13,371",0.266,"82,762",3.96
11,Houston Astros,1962,2016,"8,786","4,290","4,491",0.489,-201,7,1,0,10,866,10,"36,507","297,918","75,634","6,734",0.254,"37,188",3.82
12,Kansas City Royals,1969,2016,"7,639","3,704","3,933",0.485,-229,8,4,2,9,832,4,"33,657","261,929","69,410","5,760",0.265,"34,964",4.19
13,Los Angeles Angels of Anaheim,1961,2016,"8,945","4,477","4,465",0.501,12,9,1,1,10,986,10,"38,670","303,884","78,399","7,668",0.258,"38,824",3.94
14,Los Angeles Dodgers,1884,2016,"20,442","10,672","9,633",0.526,1039,15,22,6,30,1796,49,"91,415","696,786","182,366","12,271",0.262,"86,991",3.54
15,Miami Marlins,1993,2016,"3,819","1,793","2,026",0.469,-233,0,2,2,2,522,4,"16,335","130,058","33,558","3,418",0.258,"17,567",4.25
16,Milwaukee Brewers,1969,2016,"7,647","3,642","4,001",0.477,-359,3,1,0,4,841,5,"33,835","260,067","67,166","7,143",0.258,"35,134",4.19
17,Minnesota Twins,1901,2016,"18,129","8,639","9,381",0.479,-742,10,6,3,14,1622,23,"79,275","618,586","162,711","10,379",0.263,"82,790",3.98
18,New York Mets,1962,2016,"8,778","4,215","4,555",0.481,-340,6,5,2,9,1026,15,"35,745","297,212","74,358","7,035",0.25,"36,640",3.75
19,New York Yankees,1903,2016,"17,820","10,084","7,648",0.569,2436,18,40,27,52,1630,42,"86,388","607,945","162,122","15,401",0.267,"74,372",3.64
20,Oakland Athletics,1901,2016,"18,081","8,759","9,235",0.487,-476,16,15,9,26,1905,40,"79,889","613,357","158,724","12,589",0.259,"82,553",3.97
21,Philadelphia Phillies,1883,2016,"20,451","9,598","10,741",0.472,-1143,12,7,2,14,2006,33,"90,608","700,318","182,845","12,664",0.261,"96,430",3.97
22,Pittsburgh Pirates,1882,2016,"20,602","10,319","10,146",0.504,173,9,9,5,17,1926,40,"92,126","706,669","186,945","11,088",0.265,"91,408",3.71
23,San Diego Padres,1969,2016,"7,652","3,540","4,110",0.463,-570,5,2,0,5,950,11,"30,672","259,088","64,849","5,825",0.25,"33,419",3.93
24,San Francisco Giants,1883,2016,"20,523","10,951","9,415",0.538,1536,8,23,8,26,1735,57,"95,348","701,028","185,301","14,254",0.264,"87,758",3.56
25,Seattle Mariners,1977,2016,"6,357","2,984","3,371",0.47,-387,3,0,0,4,748,5,"28,258","217,536","56,666","6,199",0.26,"29,861",4.32
26,St. Louis Cardinals,1882,2016,"20,647","10,657","9,839",0.52,818,13,23,11,28,2075,44,"94,722","708,602","188,930","11,688",0.267,"91,030",3.67
27,Tampa Bay Rays,1998,2016,"3,076","1,420","1,656",0.462,-236,2,1,0,4,397,1,"13,531","104,826","26,905","3,039",0.257,"14,632",4.42
28,Texas Rangers,1961,2016,"8,932","4,277","4,649",0.479,-372,7,2,0,8,1058,6,"40,144","305,448","79,465","8,657",0.26,"41,826",4.24
29,Toronto Blue Jays,1977,2016,"6,358","3,167","3,188",0.498,-21,6,2,2,7,701,6,"29,471","218,280","57,195","6,636",0.262,"29,041",4.2
30,Washington Nationals,1969,2016,"7,644","3,705","3,935",0.485,-230,4,0,0,4,883,7,"31,577","258,678","65,568","6,248",0.253,"32,786",3.86
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
