Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,LeBron James,32,62,62,37.5,9.7,18,0.542,1.8,4.6,0.385,8,13.3,0.596,0.591,4.8,7,0.677,1.2,7.2,8.4,8.9,1.3,0.6,4.2,1.7,26
2,Kyrie Irving,24,60,60,35.1,9.3,19.8,0.47,2.4,6.2,0.388,6.9,13.6,0.508,0.531,4.1,4.6,0.901,0.8,2.6,3.4,5.9,1.2,0.4,2.6,2.1,25.1
3,Kevin Love,28,47,47,31.6,6.3,14.7,0.43,2.5,6.7,0.38,3.8,8,0.472,0.517,4.6,5.3,0.876,2.5,8.6,11,1.9,0.9,0.3,2.1,1.7,19.8
4,Tristan Thompson,25,68,68,30.1,3.3,5.7,0.584,0,0,0,3.3,5.6,0.589,0.584,1.4,2.9,0.495,3.7,5.8,9.6,1,0.5,1.1,0.8,2.3,8
5,J.R. Smith,31,27,22,27.7,3,8.9,0.335,2.3,6.5,0.347,0.7,2.3,0.302,0.462,0.4,0.6,0.667,0.4,2.1,2.4,1.1,1,0.3,0.6,2,8.6
6,Kyle Korver,35,26,1,25.9,4,8.1,0.488,2.8,5.8,0.487,1.1,2.3,0.492,0.664,0.3,0.3,0.889,0.2,2.6,2.8,1.1,0.4,0.2,0.9,1.7,11.1
7,Iman Shumpert,26,64,28,25.9,2.8,6.7,0.414,1.4,3.7,0.378,1.4,3,0.458,0.519,1,1.2,0.782,0.5,2.5,3,1.5,0.8,0.3,0.9,2,7.9
8,Derrick Williams,25,16,0,21.6,2.8,5.5,0.511,1.1,2.8,0.4,1.7,2.7,0.628,0.614,1.6,2.3,0.676,0.2,2.8,3,0.7,0.3,0.1,0.8,1.5,8.3
9,Deron Williams,32,10,2,21.4,2.6,5.6,0.464,0.7,1.9,0.368,1.9,3.7,0.514,0.527,1,1.1,0.909,0,2.3,2.3,4,0.3,0.2,1.4,1.8,6.9
10,Richard Jefferson,36,67,13,20.9,2,4.6,0.446,0.8,2.5,0.335,1.2,2.1,0.579,0.537,1,1.3,0.756,0.4,2.2,2.6,1,0.3,0.1,0.7,2,5.9
11,Channing Frye,33,61,10,18.9,3.2,7.3,0.443,2,4.8,0.411,1.3,2.5,0.503,0.578,0.8,1,0.823,0.5,3.3,3.8,0.7,0.4,0.5,0.7,1.9,9.3
12,Mike Dunleavy,36,23,2,15.9,1.6,3.9,0.4,0.9,2.5,0.351,0.7,1.4,0.485,0.511,0.6,0.8,0.737,0.2,1.8,2,0.9,0.3,0.1,0.6,1.4,4.6
13,DeAndre Liggins,28,53,19,13.4,0.9,2.4,0.391,0.3,0.8,0.386,0.6,1.6,0.393,0.457,0.4,0.7,0.657,0.3,1.4,1.7,1,0.8,0.3,0.7,1.4,2.6
14,Jordan McRae,25,37,4,10.4,1.6,4.1,0.387,0.5,1.4,0.353,1.1,2.7,0.404,0.447,0.7,0.9,0.794,0.2,0.9,1.1,0.5,0.2,0.2,0.4,0.8,4.4
15,Kay Felder,21,38,0,9.7,1.5,3.9,0.389,0.2,0.6,0.318,1.3,3.3,0.402,0.413,0.9,1.2,0.723,0.1,0.9,1,1.3,0.4,0.2,0.8,1,4.1
16,Chris Andersen,38,12,0,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
17,James Jones,36,41,2,7.7,0.9,1.7,0.521,0.7,1.3,0.547,0.2,0.4,0.444,0.725,0.3,0.4,0.647,0,0.7,0.7,0.3,0.1,0.2,0.2,0.8,2.8
18,Larry Sanders,28,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,2,0
19,Andrew Bogut,32,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
