Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1950,2017,68,5375,2687,2688,0.5,45,11,0,1
Atlanta Hawks,NBA,1969,2017,49,3957,1989,1968,0.503,32,5,0,0
St. Louis Hawks,NBA,1956,1968,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1952,1955,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1950,1951,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1947,2017,71,5547,3265,2282,0.589,53,30,9,17
Brooklyn Nets,NBA/ABA,1968,2017,50,4044,1747,2297,0.432,26,5,2,2
Brooklyn Nets,NBA,2013,2017,5,396,165,231,0.417,3,0,,
New Jersey Nets,NBA,1978,2012,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1977,1977,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1969,1976,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1968,1968,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,NBA,1989,2017,27,2153,946,1207,0.439,10,0,0,0
Charlotte Hornets,NBA,2015,2017,3,233,111,122,0.476,1,0,,
Charlotte Bobcats,NBA,2005,2014,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,NBA,1989,2002,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1967,2017,51,4121,2148,1973,0.521,34,9,6,6
Cleveland Cavaliers,NBA,1971,2017,47,3792,1773,2019,0.468,20,5,3,1
Dallas Mavericks,NBA,1981,2017,37,2972,1511,1461,0.508,21,3,2,1
Denver Nuggets,NBA/ABA,1968,2017,50,4045,2009,2036,0.497,33,10,0,0
Denver Nuggets,NBA,1977,2017,41,3301,1596,1705,0.483,24,7,0,0
Denver Nuggets,ABA,1975,1976,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1968,1974,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA/BAA,1949,2017,69,5437,2649,2788,0.487,41,11,5,3
Detroit Pistons,NBA,1958,2017,60,4818,2336,2482,0.485,33,9,5,3
Fort Wayne Pistons,NBA/BAA,1949,1957,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA/BAA,1947,2017,71,5543,2645,2898,0.477,33,9,3,4
Golden State Warriors,NBA,1972,2017,46,3711,1757,1954,0.473,16,4,3,2
San Francisco Warriors,NBA,1963,1971,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1947,1962,16,1103,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1968,2017,50,4040,2100,1940,0.52,31,5,4,2
Houston Rockets,NBA,1972,2017,46,3712,1981,1731,0.534,30,5,4,2
San Diego Rockets,NBA,1968,1971,4,328,119,209,0.363,1,0,0,0
Indiana Pacers,NBA/ABA,1968,2017,50,4043,2068,1975,0.512,32,9,1,3
Indiana Pacers,NBA,1977,2017,41,3299,1641,1658,0.497,23,6,1,0
Indiana Pacers,ABA,1968,1976,9,744,427,317,0.574,9,3,0,3
Los Angeles Clippers,NBA,1971,2017,47,3794,1510,2284,0.398,12,2,0,0
Los Angeles Clippers,NBA,1985,2017,33,2646,1065,1581,0.402,9,2,0,0
San Diego Clippers,NBA,1979,1984,6,492,186,306,0.378,0,0,0,0
Buffalo Braves,NBA,1971,1978,8,656,259,397,0.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1949,2017,69,5438,3255,2183,0.599,60,32,18,16
Los Angeles Lakers,NBA,1961,2017,57,4599,2798,1801,0.608,49,28,18,11
Minneapolis Lakers,NBA/BAA,1949,1960,12,839,457,382,0.545,11,4,0,5
Memphis Grizzlies,NBA,1996,2017,22,1744,734,1010,0.421,9,0,0,0
Memphis Grizzlies,NBA,2002,2017,16,1284,633,651,0.493,9,0,0,0
Vancouver Grizzlies,NBA,1996,2001,6,460,101,359,0.22,0,0,0,0
Miami Heat,NBA,1989,2017,29,2317,1204,1113,0.52,19,12,5,3
Milwaukee Bucks,NBA,1969,2017,49,3957,2017,1940,0.51,28,13,2,1
Minnesota Timberwolves,NBA,1990,2017,28,2234,875,1359,0.392,8,1,0,0
New Orleans Pelicans,NBA,2003,2017,15,1201,556,645,0.463,6,1,0,0
New Orleans Pelicans,NBA,2014,2017,4,315,137,178,0.435,1,0,,
NO/Ok. City Hornets,NBA,2006,2007,2,164,77,87,0.47,0,0,0,0
New Orleans Hornets,NBA,2003,2013,9,722,342,380,0.474,5,1,0,0
New York Knicks,NBA/BAA,1947,2017,71,5544,2728,2816,0.492,42,8,4,2
Oklahoma City Thunder,NBA,1968,2017,50,4039,2179,1860,0.539,28,11,4,1
Oklahoma City Thunder,NBA,2009,2017,9,709,434,275,0.612,6,5,1,0
Seattle SuperSonics,NBA,1968,2008,41,3330,1745,1585,0.524,22,6,3,1
Orlando Magic,NBA,1990,2017,28,2236,1087,1149,0.486,14,5,2,0
Philadelphia 76ers,NBA,1950,2017,68,5372,2751,2621,0.512,47,11,5,3
Philadelphia 76ers,NBA,1964,2017,54,4359,2175,2184,0.499,33,8,5,2
Syracuse Nationals,NBA,1950,1963,14,1013,576,437,0.569,14,3,0,1
Phoenix Suns,NBA,1969,2017,49,3957,2144,1813,0.542,29,6,2,0
Portland Trail Blazers,NBA,1971,2017,47,3792,2022,1770,0.533,32,5,3,1
Sacramento Kings,NBA/BAA,1949,2017,69,5438,2491,2947,0.458,29,5,0,1
Sacramento Kings,NBA,1986,2017,32,2563,1085,1478,0.423,10,2,0,0
Kansas City Kings,NBA,1976,1985,10,820,381,439,0.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1973,1975,3,246,113,133,0.459,1,0,0,0
Cincinnati Royals,NBA,1958,1972,15,1189,555,634,0.467,7,0,0,0
Rochester Royals,NBA/BAA,1949,1957,9,620,357,263,0.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1968,2017,50,4044,2436,1608,0.602,45,21,6,5
San Antonio Spurs,NBA,1977,2017,41,3300,2058,1242,0.624,37,21,6,5
San Antonio Spurs,ABA,1974,1976,3,252,146,106,0.579,3,0,0,0
Texas Chaparrals,ABA,1971,1971,1,84,30,54,0.357,1,0,0,0
Dallas Chaparrals,ABA,1968,1973,5,408,202,206,0.495,4,0,0,0
Toronto Raptors,NBA,1996,2017,22,1743,774,969,0.444,8,4,0,0
Utah Jazz,NBA,1975,2017,43,3466,1858,1608,0.536,25,8,2,0
Utah Jazz,NBA,1980,2017,38,3056,1697,1359,0.555,25,8,2,0
New Orleans Jazz,NBA,1975,1979,5,410,161,249,0.393,0,0,0,0
Washington Wizards,NBA,1962,2017,56,4520,2046,2474,0.453,27,7,4,1
Washington Wizards,NBA,1998,2017,20,1579,668,911,0.423,6,0,0,0
Washington Bullets,NBA,1975,1997,23,1886,887,999,0.47,13,2,3,1
Capital Bullets,NBA,1974,1974,1,82,47,35,0.573,1,1,0,0
Baltimore Bullets,NBA,1964,1973,10,813,401,412,0.493,7,4,1,0
Chicago Zephyrs,NBA,1963,1963,1,80,25,55,0.313,0,0,0,0
Chicago Packers,NBA,1962,1962,1,80,18,62,0.225,0,0,0,0
