Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets*,70,241.4,40.2,87,0.463,14.6,40.4,0.361,25.7,46.6,0.551,20.3,26.6,0.764,10.9,33.4,44.3,25.3,8.3,4.4,14.8,20.1,115.3
2,Golden State Warriors*,69,241.4,43,87.3,0.493,11.9,31.1,0.381,31.1,56.2,0.554,18.4,23.3,0.787,9.3,35.2,44.6,30.3,9.7,6.7,14.7,19.3,116.2
3,Denver Nuggets,69,241.1,40.8,87.4,0.467,10.7,28.6,0.373,30.2,58.8,0.513,18.8,24.6,0.764,12.3,34,46.2,25.1,7.1,4.1,15.2,19.4,111.1
4,Los Angeles Clippers,70,241.1,39.3,83.4,0.471,10.2,27.3,0.375,29,56.1,0.518,18.9,25.6,0.739,9.1,33.9,43,22.5,7.6,4.4,13.1,20.2,107.7
5,Washington Wizards,69,242.5,41.2,86.9,0.474,9.2,24.4,0.376,32,62.6,0.512,17.3,22.1,0.786,10.2,32.8,43,24,8.5,4.2,14.1,21.2,108.9
6,Cleveland Cavaliers,68,241.5,39.7,84.7,0.468,13.1,33.8,0.388,26.5,51,0.521,17.8,23.8,0.745,9.4,34.4,43.8,22.4,6.7,4,13.7,18,110.2
7,Boston Celtics,69,241.1,38.5,84.9,0.453,12.1,33.2,0.365,26.4,51.8,0.51,18.4,22.6,0.812,9,32.7,41.7,24.8,7.5,4.2,13.1,20.5,107.5
8,Phoenix Suns,69,242.2,39.8,88,0.452,7.7,22.7,0.339,32.1,65.3,0.491,20.2,25.7,0.787,11.6,33,44.6,19.3,8.1,5,15.7,24.8,107.4
9,Oklahoma City Thunder,69,241.4,39.4,87,0.453,8.5,25.8,0.33,30.9,61.2,0.505,19.4,26,0.747,11.9,34.4,46.3,21.1,7.8,5,15,21,106.9
10,Toronto Raptors,69,241.1,38.9,84.5,0.461,8.8,24.3,0.361,30.1,60.1,0.501,20.2,25.1,0.803,10.6,32.4,43,18.2,8.4,4.9,12.4,20.9,106.8
11,Portland Trail Blazers,68,243.7,39.6,86.3,0.459,10.2,27.6,0.37,29.4,58.6,0.501,18.7,23.9,0.782,10,33.6,43.6,21.7,6.9,5,14.1,21.8,108.2
12,New York Knicks,69,242.5,39.7,88.9,0.447,9,25.1,0.357,30.8,63.8,0.482,16.9,21.5,0.785,12,33.7,45.7,21.7,7.1,5.8,14,20.6,105.3
13,San Antonio Spurs*,68,241.5,39.5,83.5,0.472,9.2,23.2,0.395,30.3,60.3,0.502,18.3,22.7,0.806,9.8,34.2,44,23.9,7.9,5.9,13.5,18.5,106.4
14,Charlotte Hornets,69,242.2,37.7,85.7,0.44,10,28.5,0.351,27.7,57.2,0.484,19.4,23.8,0.813,8.9,35.7,44.6,23.2,6.7,5,11.8,17,104.8
